チーム名,所属リーグ,Opta表記
マンチェスター・シティ,プレミアリーグ,Manchester City
アーセナル,プレミアリーグ,Arsenal
リヴァプール,プレミアリーグ,Liverpool
アストン・ヴィラ,プレミアリーグ,Aston Villa
トッテナム・ホットスパー,プレミアリーグ,Tottenham Hotspur;Tottenham
チェルシー,プレミアリーグ,Chelsea
マンチェスター・ユナイテッド,プレミアリーグ,Manchester United
ニューカッスル,プレミアリーグ,Newcastle United;Newcastle
クリスタル・パレス,プレミアリーグ,Crystal Palace
ブライトン,プレミアリーグ,Brighton & Hove Albion;Brighton and Hove Albion;Brighton
ボーンマス,プレミアリーグ,AFC Bournemouth;Bournemouth
フラム,プレミアリーグ,Fulham
エヴァートン,プレミアリーグ,Everton
ブレントフォード,プレミアリーグ,Brentford
ノッティンガム・フォレスト,プレミアリーグ,Nottingham Forest
リーズ,プレミアリーグ,Leeds United;Leeds
サンダーランド,プレミアリーグ,Sunderland
コヴェントリー,プレミアリーグ,Coventry City;Coventry
ハル,プレミアリーグ,Hull City;Hull
イプスウィッチ,プレミアリーグ,Ipswich Town;Ipswich
バルセロナ,ラ・リーガ,Barcelona
レアル・マドリー,ラ・リーガ,Real Madrid
アトレティコ・デ・マドリー,ラ・リーガ,Atlético de Madrid
レアル・ソシエダ,ラ・リーガ,Real Sociedad
ビジャレアル,ラ・リーガ,Villarreal
ベティス,ラ・リーガ,Real Betis
オサスナ,ラ・リーガ,Osasuna
アトレティック・クルブ,ラ・リーガ,Athletic Club
ラージョ・バジェカーノ,ラ・リーガ,Rayo Vallecano
セビージャ,ラ・リーガ,Sevilla
セルタ,ラ・リーガ,Celta de Vigo
ヘタフェ,ラ・リーガ,Getafe
バレンシア,ラ・リーガ,Valencia
アラベス,ラ・リーガ,Alavés
エスパニョール,ラ・リーガ,Espanyol
レバンテ,ラ・リーガ,Levante
エルチェ,ラ・リーガ,Elche
デポルティーボ,ラ・リーガ,Deportivo de A Coruña
マラガ,ラ・リーガ,Málaga
ラシン・サンタンデール,ラ・リーガ,Racing de Santander
PSV,エールディヴィジ,PSV;PSV Eindhoven
アヤックス,エールディヴィジ,Ajax;AFC Ajax
フェイエノールト,エールディヴィジ,Feyenoord
ユトレヒト,エールディヴィジ,FC Utrecht;Utrecht
AZアルクマール,エールディヴィジ,AZ;AZ Alkmaar
トゥウェンテ,エールディヴィジ,FC Twente;Twente
ゴー・アヘッド・イーグルス,エールディヴィジ,Go Ahead Eagles
NECナイメヘン,エールディヴィジ,NEC Nijmegen;NEC
ヘーレンフェーン,エールディヴィジ,sc Heerenveen;SC Heerenveen;Heerenveen
PECズヴォレ,エールディヴィジ,PEC Zwolle
フォルトゥナ・シッタート,エールディヴィジ,Fortuna Sittard
スパルタ・ロッテルダム,エールディヴィジ,Sparta Rotterdam
フローニンゲン,エールディヴィジ,FC Groningen;Groningen
エクセルシオール,エールディヴィジ,Excelsior
テルスター,エールディヴィジ,Telstar
ADOデン・ハーグ,エールディヴィジ,ADO Den Haag
カンブール,エールディヴィジ,SC Cambuur;Cambuur
ヴィレムⅡ,エールディヴィジ,Willem II
